f1_best,precision_cv,recall_cv,f1_cv,precision_cv_pa,recall_cv_pa,pa_f1_cv,precision_evt,recall_evt,f1_evt,precision_evt_pa,recall_evt_pa,pa_f1_evt,auc_pr,auc_pr_pa,best_threshold,threshold_cv,threshold_cv_pa,threshold_evt,threshold_evt_pa,evt_p,evt_p_pa,csv_path,processing_time,time_length,n_observations,config_name
0.3344051402003702,0.656249999897461,0.2038834951357338,0.3111111074710563,0.975845410580877,0.9805825242242435,0.9782082273981791,0.34482758618707887,0.29126213590819117,0.31578946870304714,0.7030716723309531,0.9999999999514563,0.8256512977241056,0.25414010008742144,0.9980593714374937,3.2856853041429335,4.025999074265041,4.93278002970503,2.851577984171665,3.021574027253202,0.012077861163227017,0.01,data/AIOPS/e0747cad-8dc8-38a9-a9ab-855b61f5551d.csv,0.052435,5270100.0,17568,autoreg
0.8175182431677234,0.8968253967542202,0.7483443708113678,0.8158844715161152,0.982758620520214,0.37748344368361036,0.5454545413923675,0.910569105617027,0.7417218542555151,0.8175182431677234,0.9320987653745617,0.9999999999337748,0.964856224976472,0.7225514352723482,0.9665246236753848,3.6187655707654836,1.853158175351679,71.91810178674521,3.4842911642444183,3.4842911642444183,0.001,0.001,data/AIOPS/57051487-3a40-3828-9084-a12f7f23ee38.csv,0.540061,15814140.0,263570,autoreg
0.22189348675932416,0.39922480619381345,0.1497093023244934,0.21775898123160167,0.7517241379245542,0.6337209302279526,0.6876971559141299,0.22671353251118884,0.18749999999863737,0.20525059170189042,0.5815501664261458,0.8888081395284244,0.703075591650054,0.15856353261718384,0.8259535428156084,4.171150141793926,4.448825833464901,4.486422284851186,3.556008041413621,3.556008041413621,0.0046090821696182435,0.0046090821696182435,data/AIOPS/8723f0fb-eaef-32e6-b372-6034c9c04b80.csv,0.612635,17943120.0,299053,autoreg
0.1399827349950721,0.0752158918727946,0.997903434666709,0.1398878843865069,0.9309862630575545,0.6979096010355196,0.7977726038281084,0.1296741206184133,0.12980205956704088,0.12973805355153933,0.9018002165667962,0.821668619349558,0.8598715789162971,0.10348894459194322,0.8791803269011214,5.567785133368612e-06,0.0004797501628011538,4.215990952806663,1.5129060834337984,3.6387430790743016,0.07525709088209089,0.01,data/AIOPS/da10a69f-d836-3baa-ad40-3e548ecf1fbd.csv,0.442639,12959940.0,216000,autoreg
0.3301662660989839,0.5060240963652199,0.238636363631844,0.32432431996064465,0.9065420560465252,0.5511363636259254,0.6855123627722493,0.3524027459873592,0.29166666666114266,0.31917097949380663,0.7565632458053326,0.600378787867417,0.6694825716096516,0.2248782963678722,0.864763447185036,1.3883461865075049,1.602005653044383,3.390614386476075,1.1580678767531145,1.738468504323867,0.0216056960471397,0.01,data/AIOPS/ab216663-dcc2-3a24-b1ee-2c3e550e06c9.csv,0.06469,7484700.0,24950,autoreg
0.48257372164969203,0.44710578841422943,0.47257383965247735,0.45948717448158843,0.8765432098494894,0.5991561181308195,0.7117794437803784,0.44509803920695884,0.47890295357639445,0.461382108818453,0.8410714285564094,0.9936708860549859,0.911025140084665,0.38018616780814884,0.9219338163338491,2.030235570664906,2.256543891155933,4.310901662028533,2.2448050361615555,3.396178049511577,0.027329335793357935,0.01,data/AIOPS/a8c06b47-cc41-3738-9110-12df0ee4c721.csv,0.048837,5356500.0,17856,autoreg
0.3260869524929112,0.8999999991,0.13432835818890623,0.23376623144543773,0.9999999988888888,0.13432835818890623,0.23684210311288093,0.39473684200138504,0.2238805969815104,0.2857142810412699,0.7444444443617284,0.9999999998507464,0.8535031797119559,0.20771790444971575,0.9834488272921109,4.260294493473506,9.637855290085447,15.385879250207518,3.573075882911025,3.573075882911025,0.003928236397748593,0.003928236397748593,data/AIOPS/c02607e8-7399-3dde-9d28-8a8da5e5d251.csv,0.04758,5270100.0,17568,autoreg
0.2970296980513893,0.37962962959447877,0.23699421963948009,0.29181494186598456,0.8030303029086319,0.3063583814851816,0.4435146403165211,0.2839506172664228,0.2658959537418557,0.27462686066063713,0.594405594384811,0.9826589594807711,0.7407407360115056,0.21444784281058998,0.7856874553180426,3.413357395247739,3.659299912966021,6.477559266842747,3.165825211006659,3.165825211006659,0.009974630996309963,0.009974630996309963,data/AIOPS/54350a12-7a9d-3ca8-b81f-f886b9d156fd.csv,0.048252,5356500.0,17856,autoreg
0.42279411275647444,0.5343137254640042,0.34603174602076087,0.42003853085799353,0.91390728473795,0.8761904761626605,0.8946515346814854,0.41666666665277774,0.39682539681279916,0.4065040600304052,0.8265582655602558,0.96825396822323,0.891812860502163,0.36251042977216513,0.9646871085956626,3.0059437983199127,3.1272374254701782,3.980418929440394,2.721118622585621,3.327302848027834,0.01846857410881801,0.01,data/AIOPS/301c70d8-1630-35ac-8f96-bc1b6f4359ea.csv,0.047028,5270100.0,17568,autoreg
0.23249299387664873,0.3544776119336851,0.16843971631056348,0.22836538024549866,0.78399999999216,0.6950354609867462,0.736842100274323,0.23214285714041866,0.19592198581386597,0.2124999950337557,0.5548112058431498,0.8076241134680175,0.6577617280193983,0.16505884723888808,0.794817692620864,5.432453458381444,4.575362014500353,5.044379264519099,3.866656716388701,3.866656716388701,0.0037783754995126297,0.0037783754995126297,data/AIOPS/6d1114ae-be04-3c46-b5aa-be1a003a57cd.csv,0.623222,17943120.0,299053,autoreg
