model,csv_path,series,mae,rmse,mape,smape,r2,n_eval_points
granite_ttm,data/Yahoo/A3Benchmark-TS1.csv,value_0,417.3967470399207,512.9902330255602,27.478454793095096,26.493577828122287,0.7556084230533753,1168
granite_ttm,data/Yahoo/A3Benchmark-TS10.csv,value_0,298.3806630224145,359.75688914165653,9.369611359442903,10.052639410778541,0.8821253697348538,1168
granite_ttm,data/Yahoo/A3Benchmark-TS100.csv,value_0,27.492423741467658,37.806021263974614,140.7918663338807,49.578374128924736,0.9049519323653389,1168
granite_ttm,data/Yahoo/A3Benchmark-TS11.csv,value_0,320.56353375431587,373.6769484635082,20.273518473039122,20.83251282530956,0.7902635584198483,1168
granite_ttm,data/Yahoo/A3Benchmark-TS12.csv,value_0,162.6583140271473,223.0056430779721,123.87395250067645,65.81241228656081,0.8362427732795688,1168
granite_ttm,data/Yahoo/A3Benchmark-TS13.csv,value_0,292.8272816551914,368.1249338843408,65.59035547412581,46.16220854572204,0.8278260881519661,1168
granite_ttm,data/Yahoo/A3Benchmark-TS14.csv,value_0,223.5079326604262,258.54116457542034,7.245326172201794,7.62899225873759,0.9361643503465005,1168
granite_ttm,data/Yahoo/A3Benchmark-TS15.csv,value_0,603.1923275496583,745.4481686976981,33.9322808603636,24.53981239561006,0.7483396481962451,1168
granite_ttm,data/Yahoo/A3Benchmark-TS16.csv,value_0,501.58091689764245,615.7509537889488,18.08335529696528,20.935735252008975,0.7574284842566124,1168
granite_ttm,data/Yahoo/A3Benchmark-TS17.csv,value_0,418.2066783282127,477.46375255899585,15.118034880690296,17.41036421451328,0.8196923110589882,1168
granite_ttm,data/Yahoo/A3Benchmark-TS18.csv,value_0,404.6302105978658,476.8692914463589,12.791667381584748,13.967379641336827,0.8327391213688123,1168
granite_ttm,data/Yahoo/A3Benchmark-TS19.csv,value_0,231.1528053379885,288.8479448135013,77.37093865796155,34.042942453190875,0.82122307854358,1168
granite_ttm,data/Yahoo/A3Benchmark-TS2.csv,value_0,383.42148630795884,455.67780766770596,13.670478443817585,15.139402755680395,0.8213293737057666,1168
granite_ttm,data/Yahoo/A3Benchmark-TS20.csv,value_0,457.31294402943576,551.0755166977588,14.50934819097858,15.872426433307712,0.7813059522529073,1168
granite_ttm,data/Yahoo/A3Benchmark-TS21.csv,value_0,214.42615088778317,253.1794851306772,7.1729153576635785,7.590438001861038,0.9375112474101228,1168
granite_ttm,data/Yahoo/A3Benchmark-TS22.csv,value_0,560.5137644396721,668.9262922559151,25.164618510126957,27.211150389579338,0.7682172533171487,1168
granite_ttm,data/Yahoo/A3Benchmark-TS23.csv,value_0,42.63766867788885,62.024674044166886,236.81411436504635,55.89019342374012,0.8782572424547322,1168
granite_ttm,data/Yahoo/A3Benchmark-TS24.csv,value_0,14.839584855896096,18.76571612976125,184.99640998522383,66.79349286633392,0.8632011971684915,1168
granite_ttm,data/Yahoo/A3Benchmark-TS25.csv,value_0,275.733123655087,318.70985162889997,14.748677334302554,16.7979267374026,0.8140883236186518,1168
granite_ttm,data/Yahoo/A3Benchmark-TS26.csv,value_0,418.82443935268145,495.8586426915614,14.659098500319859,16.596831917104925,0.7917022811308814,1168
granite_ttm,data/Yahoo/A3Benchmark-TS27.csv,value_0,149.42895819801137,172.08929765181477,16.297725017484087,19.090954038382026,0.7972446078727424,1168
granite_ttm,data/Yahoo/A3Benchmark-TS28.csv,value_0,229.5355999208054,283.28787607987954,46.40787281196349,34.161826031472906,0.8334242484986425,1168
granite_ttm,data/Yahoo/A3Benchmark-TS29.csv,value_0,291.6701805349882,334.01921380068126,15.650772974773197,18.01665463744717,0.8078773564140046,1168
granite_ttm,data/Yahoo/A3Benchmark-TS3.csv,value_0,281.9262712322255,333.1837093842982,14.775554011796494,16.873547866480152,0.7934172251498903,1168
granite_ttm,data/Yahoo/A3Benchmark-TS30.csv,value_0,346.1841096984194,415.9258778284759,11.625827136050452,12.81573351774686,0.834961721124983,1168
granite_ttm,data/Yahoo/A3Benchmark-TS31.csv,value_0,106.55964733722351,156.32269739171127,111.83255811207447,44.17237288294407,0.9490932887919318,1168
granite_ttm,data/Yahoo/A3Benchmark-TS32.csv,value_0,80.24445865470044,113.44378915784841,220.1952585801252,59.603057736857046,0.8550148987509524,1168
granite_ttm,data/Yahoo/A3Benchmark-TS33.csv,value_0,322.35309072807377,414.2763179217273,216.34753279972875,74.16746549746351,0.8028871958876227,1168
granite_ttm,data/Yahoo/A3Benchmark-TS34.csv,value_0,401.904821625708,488.2644931120946,28.17646912543398,29.429886435759084,0.7615596136371565,1168
granite_ttm,data/Yahoo/A3Benchmark-TS35.csv,value_0,200.39033053994473,235.73490178436614,67.94407807307256,34.64572290535734,0.8656545900841383,1168
granite_ttm,data/Yahoo/A3Benchmark-TS36.csv,value_0,349.83228618954746,427.4553038696351,20.22851207076101,24.229452927810183,0.7601180465456874,1168
granite_ttm,data/Yahoo/A3Benchmark-TS37.csv,value_0,171.74776504146848,238.98856088014043,123.43926290524409,61.34665549512138,0.8437648886354787,1168
granite_ttm,data/Yahoo/A3Benchmark-TS38.csv,value_0,136.92825006537817,166.04164243351937,13.880600118130904,15.70269934100286,0.779280322148354,1168
granite_ttm,data/Yahoo/A3Benchmark-TS39.csv,value_0,121.17994479678124,143.36696410564386,12.146424253816509,13.404386666597464,0.8253622209245521,1168
granite_ttm,data/Yahoo/A3Benchmark-TS4.csv,value_0,356.59666448446086,435.55728788952337,19.277164102780215,23.012605611727142,0.7301023040956711,1168
granite_ttm,data/Yahoo/A3Benchmark-TS40.csv,value_0,223.4404574332527,259.99114177100876,10.788359153753428,11.649340253249427,0.8645912623122076,1168
granite_ttm,data/Yahoo/A3Benchmark-TS41.csv,value_0,43.025138266427746,55.66407920718449,203.1895761921811,61.255492808729564,0.8727632757127421,1168
granite_ttm,data/Yahoo/A3Benchmark-TS42.csv,value_0,384.91024537663725,465.79888581412337,12.540664759766385,13.465673341175096,0.8234620904557945,1168
granite_ttm,data/Yahoo/A3Benchmark-TS43.csv,value_0,118.21643663678512,138.80740666492505,11.90817984051946,13.07987327177153,0.8399936227609364,1168
granite_ttm,data/Yahoo/A3Benchmark-TS44.csv,value_0,49.05402741310192,65.70472441012855,173.5027790816572,63.43714597219048,0.8461527543498767,1168
granite_ttm,data/Yahoo/A3Benchmark-TS45.csv,value_0,170.18969005719666,217.86093351903986,130.37216432923435,64.51112067747172,0.8639890296755293,1168
granite_ttm,data/Yahoo/A3Benchmark-TS46.csv,value_0,422.83163808345347,500.9022458531857,13.415173569450339,14.629205912003876,0.8108073991774323,1168
granite_ttm,data/Yahoo/A3Benchmark-TS47.csv,value_0,357.2474748581165,432.23114984825713,23.029618647521914,24.574113145579428,0.7600336692609934,1168
granite_ttm,data/Yahoo/A3Benchmark-TS48.csv,value_0,298.66689226462506,364.0018802561872,15.572400735528433,17.769010131975456,0.7591673762246279,1168
granite_ttm,data/Yahoo/A3Benchmark-TS49.csv,value_0,75.65309119602752,104.5443951378901,1212.7875696639048,69.26576326518747,0.8165673847060759,1168
granite_ttm,data/Yahoo/A3Benchmark-TS5.csv,value_0,303.48261203908856,347.5954219232994,16.99896019040212,19.817954907091416,0.8099176002250221,1168
granite_ttm,data/Yahoo/A3Benchmark-TS50.csv,value_0,218.54045828691162,262.7568899635891,7.31388882387697,7.763474561199455,0.9323351731944655,1168
granite_ttm,data/Yahoo/A3Benchmark-TS51.csv,value_0,505.6639154278669,604.7532410842854,18.7903894747398,22.218041507996187,0.7598368881969804,1168
granite_ttm,data/Yahoo/A3Benchmark-TS52.csv,value_0,123.75065347674546,163.96558578931783,169.13978291115052,51.819041069095505,0.8804040664883187,1168
granite_ttm,data/Yahoo/A3Benchmark-TS53.csv,value_0,181.02764858012299,222.6246922039743,24.525273216378128,26.651908386176792,0.7781009870349561,1168
granite_ttm,data/Yahoo/A3Benchmark-TS54.csv,value_0,253.4132179300949,348.0262173989076,49.813587395716326,38.547838430572334,0.8228573774532938,1168
granite_ttm,data/Yahoo/A3Benchmark-TS55.csv,value_0,331.1030004377861,391.2318709057872,23.627058997371208,18.011533386812882,0.8076286424908048,1168
granite_ttm,data/Yahoo/A3Benchmark-TS56.csv,value_0,286.6835447734329,331.47089441963857,15.379514421927304,17.765198059548066,0.8063340803083971,1168
granite_ttm,data/Yahoo/A3Benchmark-TS57.csv,value_0,289.47319032063785,346.93586190229365,13.701684432744479,15.020342361403033,0.8113451941811427,1168
granite_ttm,data/Yahoo/A3Benchmark-TS58.csv,value_0,245.17716161115524,300.53768609904773,193.01999526545873,60.29044549587336,0.8715973552277707,1168
granite_ttm,data/Yahoo/A3Benchmark-TS59.csv,value_0,160.94131831042054,190.4977311952132,17.476032518722707,20.167724892755174,0.766990823233963,1168
granite_ttm,data/Yahoo/A3Benchmark-TS6.csv,value_0,16.365026461594674,21.25821721063823,189.17283070191567,50.93894153524009,0.8972197343770358,1168
granite_ttm,data/Yahoo/A3Benchmark-TS60.csv,value_0,360.74905544421955,439.5606730901287,11.41314233958603,12.407464153566663,0.8358755255778412,1168
granite_ttm,data/Yahoo/A3Benchmark-TS61.csv,value_0,409.33804865493767,511.51886787918664,25.26749089711512,25.072718784051386,0.7380998145890612,1168
granite_ttm,data/Yahoo/A3Benchmark-TS62.csv,value_0,224.29456128282388,271.65937914277004,7.4741896984573355,7.950987342811939,0.9279764596455684,1168
granite_ttm,data/Yahoo/A3Benchmark-TS63.csv,value_0,297.4642760709499,351.55006890310005,15.97517816181907,18.403088237508037,0.7873116579614767,1168
granite_ttm,data/Yahoo/A3Benchmark-TS64.csv,value_0,27.815957475910597,41.8439327555003,59.23658750442006,42.43635325829683,0.8974062415792278,1168
granite_ttm,data/Yahoo/A3Benchmark-TS65.csv,value_0,194.7325717546942,240.59994477207448,149.85983323413205,66.88182549816618,0.8670861049013776,1168
