precision,recall,f1,f1_best,f1_pointwise_pa_best,auc_pr,best_threshold,csv_path,processing_time,time_length,n_observations,config_name
0.0,0.0,0.0,0.0,0.0,0.0,0.4107297746128799,data/Yahoo/real_59.csv,0.0125,5119200.0,1423,autoreg
0.2,0.6666666666666666,0.30769230769230765,0.34146340961332544,0.33333332820000006,0.2914014142722867,1.9609144977881985,data/Yahoo/real_65.csv,0.008287,5122800.0,1424,autoreg
0.42857142857142855,0.9230769230769231,0.5853658536585366,0.9599999942400002,0.5853658490422368,0.923672161172161,5.397036318166781,data/Yahoo/A3Benchmark-TS12.csv,0.009494,6044400.0,1680,autoreg
0.4,1.0,0.5714285714285715,0.8888888819753088,0.7272727213223142,0.8875,5.942016448836122,data/Yahoo/synthetic_85.csv,0.008001,5112000.0,1421,autoreg
0.3333333333333333,1.0,0.5,0.6666666600000001,0.6666666611111112,0.5742753623188406,3.406038278043527,data/Yahoo/synthetic_91.csv,0.007728,5112000.0,1421,autoreg
0.17391304347826086,0.26666666666666666,0.2105263157894737,0.3478260824196598,0.20512820018408953,0.30775436790772526,5.2274031976518165,data/Yahoo/A4Benchmark-TS99.csv,0.007623,6044400.0,1680,autoreg
0.4166666666666667,1.0,0.5882352941176471,0.7499999934375,0.5882352892733564,0.8,6.695108640527919,data/Yahoo/A4Benchmark-TS72.csv,0.008583,6044400.0,1680,autoreg
0.5,1.0,0.6666666666666666,0.9999999925,0.7999999936,1.0,5.594787824209465,data/Yahoo/synthetic_46.csv,0.007564,5112000.0,1421,autoreg
0.3333333333333333,1.0,0.5,0.9999999925,0.6666666611111112,1.0,3.0384623272933697,data/Yahoo/synthetic_52.csv,0.007608,5112000.0,1421,autoreg
0.07692307692307693,1.0,0.14285714285714288,0.9999999850000002,0.14285714132653063,1.0,8.615785172380056,data/Yahoo/A4Benchmark-TS66.csv,0.008297,6044400.0,1680,autoreg
0.375,1.0,0.5454545454545454,0.7499999946874999,0.7826086902079396,0.7412097162097162,2.1453682566806638,data/Yahoo/synthetic_53.csv,0.007584,5112000.0,1421,autoreg
0.4666666666666667,1.0,0.6363636363636364,0.9032258009157127,0.6363636317355372,0.9552211793808432,4.729026736345211,data/Yahoo/A4Benchmark-TS67.csv,0.008379,6044400.0,1680,autoreg
0.3333333333333333,1.0,0.5,0.9999999930000001,0.49999999575,1.0,5.163021762053505,data/Yahoo/A4Benchmark-TS73.csv,0.008742,6044400.0,1680,autoreg
0.42857142857142855,1.0,0.6,0.8181818126033058,0.8181818126033058,0.7620481370481371,2.602564041713718,data/Yahoo/synthetic_47.csv,0.007743,5112000.0,1421,autoreg
0.7142857142857143,1.0,0.8333333333333333,0.9655172357193816,0.8333333280092593,0.9833333333333333,3.9570038465880852,data/Yahoo/A4Benchmark-TS98.csv,0.007786,6044400.0,1680,autoreg
0.14285714285714285,1.0,0.25,0.9999999850000002,0.24999999718750004,1.0,6.4418371115165,data/Yahoo/synthetic_90.csv,0.007195,5112000.0,1421,autoreg
1.0,1.0,1.0,0.9999999850000002,0.9999999850000002,1.0,2.7137130790095703,data/Yahoo/synthetic_84.csv,0.007121,5112000.0,1421,autoreg
0.4,0.8888888888888888,0.5517241379310346,0.9411764644982699,0.5517241332699169,0.8894841269841272,5.985022864099605,data/Yahoo/A3Benchmark-TS13.csv,0.007689,6044400.0,1680,autoreg
0.0,0.0,0.0,0.0,0.0,0.0,0.6368599150651257,data/Yahoo/real_64.csv,0.008006,5184000.0,1441,autoreg
1.0,1.0,1.0,0.7435897384516766,0.9999999947674418,0.7350775211494622,1.4709999399103681,data/Yahoo/real_58.csv,0.007761,5162400.0,1435,autoreg
0.23076923076923078,1.0,0.375,0.5333333281185186,0.6774193501404787,0.4547353311992832,3.875399432431907,data/Yahoo/real_66.csv,0.006974,5122800.0,1424,autoreg
0.4117647058823529,1.0,0.5833333333333334,0.9999999935714285,0.5833333287152778,0.9999999999999998,4.318997512405151,data/Yahoo/A3Benchmark-TS11.csv,0.007711,6044400.0,1680,autoreg
0.5217391304347826,1.0,0.6857142857142856,0.9999999941666666,0.6857142808163266,1.0,4.109143275808434,data/Yahoo/A3Benchmark-TS39.csv,0.00827,6044400.0,1680,autoreg
0.5,1.0,0.6666666666666666,0.8571428514285714,0.8571428514285714,0.8120250120250121,2.94750653465405,data/Yahoo/synthetic_92.csv,0.006818,5112000.0,1421,autoreg
0.3,1.0,0.4615384615384615,0.4999999954166666,0.719999994816,0.49099426807760144,5.572655623281173,data/Yahoo/synthetic_86.csv,0.007682,5112000.0,1421,autoreg
0.46875,1.0,0.6382978723404256,0.9999999943333333,0.6382978677229516,1.0,4.173366268777929,data/Yahoo/A4Benchmark-TS65.csv,0.008114,6044400.0,1680,autoreg
0.25,1.0,0.4,0.9999999850000002,0.3999999952,1.0,3.8480226275087737,data/Yahoo/synthetic_51.csv,0.006851,5112000.0,1421,autoreg
0.25,1.0,0.4,0.9999999850000002,0.3999999952,1.0,3.6284773569879767,data/Yahoo/synthetic_45.csv,0.007244,5112000.0,1421,autoreg
0.21739130434782608,0.5,0.30303030303030304,0.6666666613333334,0.30303029862258957,0.512412822360483,4.824398724645874,data/Yahoo/A4Benchmark-TS71.csv,0.007474,6044400.0,1680,autoreg
0.0,0.0,0.0,0.02197802175582659,0.0,0.011111111111111112,2.2830989692945667,data/Yahoo/A4Benchmark-TS59.csv,0.007683,6044400.0,1680,autoreg
0.2857142857142857,1.0,0.4444444444444445,0.6666666600000001,0.6153846101775148,0.5742753623188406,3.9685480440852174,data/Yahoo/synthetic_79.csv,0.007595,5112000.0,1421,autoreg
0.25,1.0,0.4,0.9999999850000002,0.3999999952,1.0,3.585811173801647,data/Yahoo/synthetic_78.csv,0.007212,5112000.0,1421,autoreg
0.2857142857142857,1.0,0.4444444444444445,0.7999999936,0.6153846101775148,0.8166666666666667,4.005205338603306,data/Yahoo/synthetic_100.csv,0.007089,5112000.0,1421,autoreg
0.4444444444444444,1.0,0.6153846153846153,0.7368420996121884,0.6153846106508876,0.7276109307359306,3.4874803839984607,data/Yahoo/A4Benchmark-TS58.csv,0.007838,6044400.0,1680,autoreg
0.42857142857142855,1.0,0.6,0.8181818126033058,0.8181818126033058,0.7620481370481371,2.749523326236887,data/Yahoo/synthetic_44.csv,0.007493,5112000.0,1421,autoreg
0.4,1.0,0.5714285714285715,0.9999999925,0.5714285665306122,1.0,3.7894537042397163,data/Yahoo/A4Benchmark-TS70.csv,0.009089,6044400.0,1680,autoreg
0.35714285714285715,1.0,0.5263157894736842,0.909090902479339,0.5263157850415513,0.81,7.286647564526548,data/Yahoo/A4Benchmark-TS64.csv,0.008376,6044400.0,1680,autoreg
0.6,1.0,0.7499999999999999,0.8999999941499999,0.8999999941499999,0.9051066217732886,2.7215892733095086,data/Yahoo/synthetic_50.csv,0.008161,5112000.0,1421,autoreg
0.25,1.0,0.4,0.9999999850000002,0.3999999952,1.0,4.184558497098149,data/Yahoo/synthetic_87.csv,0.008119,5112000.0,1421,autoreg
0.5,1.0,0.6666666666666666,0.9999999850000002,0.6666666577777778,1.0,3.2064764778922803,data/Yahoo/synthetic_93.csv,0.007709,5112000.0,1421,autoreg
0.2727272727272727,1.0,0.42857142857142855,0.9999999916666666,0.42857142459183667,1.0,10.249186403614647,data/Yahoo/A3Benchmark-TS38.csv,0.007448,6044400.0,1680,autoreg
0.375,1.0,0.5454545454545454,0.9473684150692521,0.5714285670204082,0.9526315789473684,7.303222462725856,data/Yahoo/A3Benchmark-TS10.csv,0.00877,6044400.0,1680,autoreg
0.5,1.0,0.6666666666666666,0.7586206846076101,0.9019607790080739,0.6904695905904334,0.5303986006012813,data/Yahoo/real_67.csv,0.007686,5119200.0,1423,autoreg
0.2,1.0,0.33333333333333337,0.31578946847645434,0.7999999944,0.2335691847827577,2.891432625649546,data/Yahoo/real_63.csv,0.007841,5176800.0,1439,autoreg
0.2,1.0,0.33333333333333337,0.9999999900000001,0.33333333000000004,1.0,15.230225638637952,data/Yahoo/A3Benchmark-TS28.csv,0.00739,6044400.0,1680,autoreg
0.4838709677419355,1.0,0.6521739130434783,0.9999999943333333,0.6521739083648393,1.0,4.681986404567456,data/Yahoo/A3Benchmark-TS14.csv,0.008845,6044400.0,1680,autoreg
0.25,1.0,0.4,0.6666666611111112,0.5714285665306122,0.75,3.304259662841957,data/Yahoo/synthetic_97.csv,0.007777,5112000.0,1421,autoreg
0.2727272727272727,1.0,0.42857142857142855,0.4999999954166666,0.6923076872485207,0.4125493929181529,5.367121107276535,data/Yahoo/synthetic_83.csv,0.00766,5112000.0,1421,autoreg
