precision,recall,f1,f1_best,f1_pointwise_pa_best,auc_pr,best_threshold,csv_path,processing_time,time_length,n_observations,config_name
0.16037735849056603,1.0,0.2764227642276422,0.888888883904321,0.8244575888099157,0.24951053962273412,5.425285319539838,data/AIOPS/e0747cad-8dc8-38a9-a9ab-855b61f5551d.csv,0.036634,5270100.0,17568,autoreg
0.11851851851851852,1.0,0.21192052980132453,0.9411764656055364,0.7173396628238388,0.7558001952747933,34.60783004793989,data/AIOPS/57051487-3a40-3828-9084-a12f7f23ee38.csv,0.385947,15814140.0,263570,autoreg
0.0543010752688172,0.9901960784313726,0.10295616717635067,0.7602339133148661,0.6057371538555713,0.1713968840004466,9.08918342907687,data/AIOPS/8723f0fb-eaef-32e6-b372-6034c9c04b80.csv,0.413812,17943120.0,299053,autoreg
0.04035020936429387,0.8617886178861789,0.07709090909090908,0.6330275180182646,0.8555199217062959,0.10627745339006579,8.8147439273162,data/AIOPS/da10a69f-d836-3baa-ad40-3e548ecf1fbd.csv,0.233206,12959940.0,216000,autoreg
0.6470588235294118,0.8461538461538461,0.7333333333333334,0.844444439565432,0.7310344780331353,0.3173706802678943,7.654405432013037,data/AIOPS/ab216663-dcc2-3a24-b1ee-2c3e550e06c9.csv,0.037215,7484700.0,24950,autoreg
0.1306532663316583,0.9285714285714286,0.2290748898678414,0.7272727222743802,0.7839850974625914,0.18414448208207929,7.0740366465230045,data/AIOPS/a8c06b47-cc41-3738-9110-12df0ee4c721.csv,0.030731,5356500.0,17856,autoreg
0.0875,1.0,0.16091954022988506,0.8749999950781251,0.6473429907283718,0.208391777410802,7.182487581133289,data/AIOPS/c02607e8-7399-3dde-9d28-8a8da5e5d251.csv,0.029455,5270100.0,17568,autoreg
0.0728476821192053,1.0,0.13580246913580246,0.5333333294222222,0.7119341517642128,0.21977315524389687,8.56040240362547,data/AIOPS/54350a12-7a9d-3ca8-b81f-f886b9d156fd.csv,0.029376,5356500.0,17856,autoreg
0.3558282208588957,1.0,0.5248868778280543,0.7603305735209345,0.8590603977608215,0.3645785302137156,4.257818058907751,data/AIOPS/301c70d8-1630-35ac-8f96-bc1b6f4359ea.csv,0.028257,5270100.0,17568,autoreg
0.03886255924170616,1.0,0.07481751824817517,0.8137930985341261,0.5266106403757321,0.17671449596396407,9.316027108666578,data/AIOPS/6d1114ae-be04-3c46-b5aa-be1a003a57cd.csv,0.331474,17943120.0,299053,autoreg
